"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,41835936,135439151,1,21-FEB-21,3,"N",5,5,22,"M",2,2,"R","","",22,0
2020,41835986,135439269,2,14-SEP-20,3,"N",16,5,43,"F",1,2,"","","",43,0
2020,41835985,135439269,1,14-SEP-20,3,"N",16,5,39,"M",1,2,"","","",39,0
2020,41364970,133961301,1,06-JAN-21,2,"N",23,5,53,"M",1,2,"R","","",53,0
2020,41365023,133959487,1,13-JAN-21,3,"N",11,5,25,"F",2,2,"R","","",25,0
2020,41363239,133959509,1,07-JAN-21,3,"N",27,5,39,"M",2,2,"","","",39,0
2020,41364982,133959341,1,31-DEC-20,3,"N",5,5,30,"M",2,2,"","","",30,0
2020,41363272,133959650,1,05-OCT-20,2,"C",23,5,63,"M",1,2,"R","","",63,0
2020,41363279,133959672,1,10-DEC-20,2,"C",45,5,40,"F",1,3,"","","",40,0
2020,41365002,133961408,2,15-NOV-20,1,"N",16,5,18,"M",2,2,"R","","",18,0
2020,41365001,133961408,1,15-NOV-20,1,"N",39,5,22,"M",2,2,"R","","",22,0
2020,41365065,133961701,1,13-JAN-21,2,"N",23,5,20,"F",2,2,"R","","",20,0
2020,41364974,133959314,1,06-JAN-21,3,"N",51,5,31,"M",2,2,"R","","",31,0
2020,41363231,133961436,1,17-DEC-20,1,"N",51,5,59,"M",2,2,"R","","",59,0
2020,41363237,133961476,1,07-JAN-21,3,"N",5,5,39,"M",2,2,"","","",39,0
2020,41363242,133959524,1,09-NOV-20,1,"N",45,5,60,"F",2,2,"","","",60,0
2020,41363265,133959623,1,29-DEC-20,1,"N",39,5,71,"M",2,2,"R","","",71,0
2020,41365061,133959671,1,20-NOV-20,3,"N",27,5,56,"F",2,2,"","","",56,0
2020,41312741,133791423,1,19-SEP-20,3,"N",27,5,38,"M",2,2,"R","","",38,0
2020,40207205,130111329,2,24-JUL-20,1,"N",51,5,52,"F",1,2,"R","","",52,0
2020,40229758,130111329,1,24-JUL-20,1,"N",51,5,23,"M",1,2,"R","","",23,0
2020,41312686,133786238,1,31-AUG-20,1,"N",51,5,53,"M",1,2,"","","",53,0
2020,41312711,133791285,1,28-AUG-20,1,"C",51,5,65,"M",2,2,"","","",65,0
2020,41315437,133791302,1,26-AUG-20,1,"N",27,5,18,"F",2,2,"R","","",18,0
2020,41364963,133959291,1,20-DEC-20,1,"N",39,5,30,"M",2,2,"","","",30,0
2020,41363224,133959379,1,22-SEP-20,1,"C",21,5,49,"M",1,2,"","","",49,0
2020,40229818,130111510,1,12-AUG-20,3,"N",45,5,33,"M",2,2,"R","","",33,0
2020,40229824,130106931,1,01-AUG-20,1,"N",5,5,32,"M",2,2,"R","","",32,0
2020,40229827,130111520,3,04-AUG-20,3,"N",20,5,10,"M",2,2,"R","R","",10,0
2020,40229825,130111520,1,27-JUL-20,3,"N",20,5,12,"M",2,2,"R","R","",12,0
2020,40229826,130111520,2,28-JUL-20,2,"N",20,5,10,"M",0,1,"R","R","",10,0
2020,40229849,130107007,1,05-AUG-20,1,"N",27,5,25,"M",1,2,"R","","",25,0
