"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2020,140684067,123659803,0,,,"",,,,
2020,140684068,123659804,1,4,,"U",0,3,,
2020,140684072,123659807,1,5,34,"M",1,2,34,0
2020,140684073,123659807,2,5,26,"F",1,2,26,0
2020,140684074,123659808,1,5,32,"M",1,1,32,0
2020,140684075,123659809,1,5,21,"M",2,2,21,0
2020,140684076,123659810,1,4,,"U",0,3,,
2020,140684078,123659811,2,5,30,"M",2,2,30,0
2020,140684077,123659811,1,5,56,"M",2,2,56,0
2020,140684079,123659812,1,5,40,"M",2,2,40,0
2020,140684081,123659814,1,5,30,"F",1,2,30,0
2020,140684082,123659815,1,5,30,"M",2,2,30,0
2020,140684083,123659816,1,4,,"U",0,3,,
2020,140684084,123659817,1,5,20,"M",2,2,20,0
2020,140684086,123659817,3,5,18,"F",2,2,18,0
2020,140684085,123659817,2,5,18,"F",2,2,18,0
2020,140684088,123659819,1,5,29,"F",1,2,29,0
2020,140684089,123659820,1,4,,"M",1,2,,
2020,140684090,123659821,1,4,,"M",0,3,,
2020,140684091,123659822,1,5,31,"M",1,2,31,0
2020,140684092,123659823,1,5,51,"M",1,2,51,0
2020,140684094,123659825,1,4,,"U",0,3,,
2020,140684095,123659826,1,5,54,"M",2,2,54,0
2020,140684096,123659827,1,5,17,"F",1,2,17,0
2020,140684098,123659829,1,4,,"U",0,3,,
2020,140684099,123659830,1,4,,"U",0,3,,
2020,140684101,123659832,1,5,39,"F",1,2,39,0
2020,140684102,123659833,1,4,,"U",0,3,,
2020,140684103,123659834,1,5,56,"F",2,2,56,0
2020,140684104,123659835,1,5,22,"F",2,3,20,25
2020,140684105,123659836,1,5,15,"M",2,2,15,0
2020,140684106,123659837,1,5,13,"M",2,2,13,0
2020,140684107,123659838,1,5,45,"F",2,2,45,0
2020,140684108,123659839,1,5,15,"F",2,2,15,0
2020,140684112,123659839,5,5,15,"F",2,2,15,0
2020,140684109,123659839,2,5,14,"F",2,2,14,0
2020,140684111,123659839,4,5,14,"F",2,2,14,0
2020,140684110,123659839,3,5,15,"F",2,2,15,0
2020,140684113,123659840,1,4,,"U",0,3,,
2020,140684114,123659840,2,5,30,"M",2,2,30,0
2020,140684115,123659841,1,5,18,"M",2,2,18,0
2020,140684116,123659842,1,5,20,"F",2,2,20,0
2020,140684117,123659843,1,5,60,"M",1,2,60,0
2020,140684118,123659844,1,5,44,"M",1,2,44,0
2020,140684120,123659846,1,5,37,"M",1,2,37,0
2020,140684121,123659847,1,5,50,"M",1,2,50,0
2020,140684122,123659848,1,5,21,"F",2,2,21,0
2020,140684123,123659849,1,5,50,"F",2,2,50,0
2020,140684124,123659850,1,4,,"U",0,3,,
2020,140684125,123659850,2,5,30,"M",2,2,30,0
2020,140684126,123659851,1,4,,"U",0,3,,
2020,140684127,123659852,1,4,,"U",0,3,,
2020,140684129,123659854,0,,,"",,,,
2020,140684130,123659855,0,,,"",,,,
2020,140684131,123659856,1,4,,"U",0,3,,
2020,140684132,123659857,1,4,,"M",0,3,,
2020,140684133,123659858,1,5,15,"M",1,1,15,0
2020,140684134,123659858,2,5,16,"M",2,2,16,0
2020,140684135,123659859,1,4,,"U",0,3,,
2020,140684136,123659860,1,5,54,"M",2,2,50,59
2020,140684137,123659861,1,5,15,"F",1,2,15,0
2020,140684141,123659863,1,5,20,"M",2,2,20,0
2020,140684142,123659864,1,5,58,"F",1,2,58,0
2020,140684144,123659865,2,4,,"M",0,3,,
2020,140684143,123659865,1,4,,"M",0,3,,
2020,140684145,123659866,1,5,40,"M",1,2,40,0
2020,140684146,123659867,1,5,25,"F",1,1,25,0
2020,140684147,123659868,1,5,30,"M",2,2,30,0
2020,140684148,123659869,1,5,33,"M",1,2,33,0
2020,140684149,123659870,1,4,,"M",2,2,,
2020,140684151,123659870,3,4,,"F",2,2,,
2020,140684150,123659870,2,4,,"M",1,2,,
2020,140684152,123659871,1,4,,"U",0,3,,
2020,140684153,123659872,1,5,23,"M",1,2,23,0
2020,140684156,123659874,1,4,,"M",2,3,,
2020,140684157,123659875,1,5,47,"F",2,2,45,49
2020,140684158,123659876,1,5,16,"F",2,2,16,0
2020,140684159,123659877,1,4,,"M",0,3,,
2020,140684160,123659878,1,5,27,"F",2,2,27,0
2020,140684161,123659879,1,5,13,"M",2,2,13,0
2020,140684162,123659880,1,5,15,"M",2,2,15,0
2020,140684163,123659881,0,,,"",,,,
2020,140684164,123659882,1,4,,"U",0,3,,
2020,140684165,123659883,1,4,,"M",0,3,,
2020,140684166,123659884,1,5,31,"M",1,1,31,0
2020,140684167,123659885,1,5,31,"M",2,2,31,0
2020,140684168,123659886,1,4,,"U",0,3,,
2020,140684169,123659887,1,5,36,"M",1,1,36,0
2020,140684170,123659888,1,5,36,"F",8,2,36,0
2020,140684171,123659889,1,5,56,"F",2,2,56,0
2020,140684172,123659890,1,5,31,"F",2,2,31,0
2020,140684173,123659891,1,5,27,"M",1,1,25,30
2020,140684175,123659891,3,4,,"M",1,1,,
2020,140684174,123659891,2,5,22,"M",1,1,20,25
2020,140684176,123659892,1,5,42,"F",2,2,42,0
2020,140684177,123659893,1,5,44,"M",1,2,44,0
2020,140684178,123659894,1,4,,"U",0,3,,
2020,140684179,123659895,1,5,42,"M",2,2,42,0
2020,140684180,123659896,1,5,56,"F",2,2,56,0
2020,140684181,123659897,1,5,25,"M",2,2,25,0
2020,140684182,123659898,1,5,50,"F",2,2,50,0
2020,140684183,123659899,1,5,33,"M",2,2,33,0
2020,140684184,123659900,1,5,30,"F",0,3,25,35
2020,140684185,123659901,1,5,30,"M",2,2,30,0
2020,140684186,123659902,0,,,"",,,,
2020,140684187,123659903,1,5,36,"M",2,2,36,0
2020,140684188,123659904,1,4,,"U",0,3,,
2020,140684189,123659905,0,,,"",,,,
2020,140684190,123659906,1,5,15,"M",1,2,15,0
2020,140684191,123659907,1,4,,"U",0,3,,
2020,140684192,123659908,1,5,43,"M",2,2,43,0
2020,140684193,123659909,1,5,32,"F",2,2,32,0
2020,140684194,123659910,1,5,38,"M",1,1,38,0
2020,140684195,123659911,1,5,35,"F",1,2,35,0
2020,140684196,123659912,1,5,12,"F",2,2,12,0
2020,140684198,123659912,3,5,17,"F",2,2,17,0
2020,140684197,123659912,2,5,17,"F",2,2,17,0
2020,140684199,123659912,4,5,18,"F",2,2,18,0
2020,140684200,123659912,5,5,11,"F",2,2,11,0
2020,140684201,123659913,1,5,26,"M",2,2,26,0
2020,140684202,123659914,1,5,18,"M",2,2,18,0
2020,140684203,123659914,2,5,50,"M",2,2,50,0
2020,140684204,123659914,3,5,18,"M",2,3,18,0
2020,140684205,123659915,1,5,32,"M",2,2,32,0
2020,140684206,123659916,1,5,20,"M",2,2,20,0
2020,140684207,123659917,1,5,31,"F",1,2,31,0
2020,140684208,123659918,1,4,,"U",0,3,,
2020,140684215,123659920,1,5,21,"M",1,1,21,0
2020,140684216,123659921,1,4,,"U",0,3,,
2020,140684217,123659922,1,5,24,"M",2,2,24,0
2020,140684218,123659923,1,5,37,"M",1,1,37,0
2020,140684222,123659924,4,5,14,"M",2,2,14,0
2020,140684221,123659924,3,5,14,"M",2,2,14,0
2020,140684219,123659924,1,4,,"U",0,3,,
2020,140684220,123659924,2,5,18,"M",2,2,18,0
2020,140684223,123659925,1,5,24,"M",2,2,24,0
2020,140684230,123659928,1,5,27,"M",1,2,27,0
2020,140684232,123659930,1,4,,"M",2,2,,
2020,140684234,123659931,2,5,30,"F",1,2,30,0
2020,140684233,123659931,1,5,42,"M",1,2,42,0
2020,140684235,123659932,1,5,30,"M",1,2,30,0
2020,140684236,123659933,1,5,52,"M",1,2,52,0
2020,140684237,123659934,1,5,72,"M",1,2,72,0
2020,140684241,123659936,1,5,41,"F",1,2,41,0
2020,140684242,123659936,2,5,42,"F",1,2,42,0
2020,140684243,123659937,1,5,34,"M",2,2,34,0
2020,140684244,123659938,1,5,16,"F",1,2,16,0
2020,140684245,123659939,1,5,40,"F",2,2,40,0
2020,140684246,123659940,1,5,23,"M",1,2,23,0
2020,140684247,123659941,1,5,23,"M",1,2,23,0
2020,140684249,123659943,1,4,,"U",0,3,,
2020,140684250,123659944,1,5,40,"M",1,2,40,0
2020,140684251,123659944,2,5,28,"M",1,2,28,0
2020,140684252,123659945,1,5,32,"M",2,2,32,0
2020,140684253,123659946,1,5,42,"F",2,2,42,0
2020,140684254,123659947,1,5,38,"M",2,2,38,0
2020,140684255,123659948,1,5,27,"F",2,2,27,0
2020,140684256,123659949,1,5,58,"M",2,2,58,0
2020,140684257,123659950,1,5,21,"F",1,1,21,0
2020,140684258,123659951,1,4,,"U",0,3,,
2020,140684259,123659952,0,,,"",,,,
2020,140684260,123659953,1,5,17,"F",1,2,17,0
2020,140684261,123659953,2,5,17,"M",0,3,17,0
2020,140684262,123659954,1,5,42,"M",1,2,42,0
2020,140684263,123659955,0,,,"",,,,
2020,140684264,123659956,1,4,,"U",0,3,,
2020,140684266,123659957,2,5,40,"F",2,3,40,0
2020,140684265,123659957,1,4,,"F",2,2,,
2020,140684267,123659958,0,,,"",,,,
2020,140684268,123659959,1,4,,"U",0,3,,
2020,140684269,123659960,1,4,,"U",0,3,,
2020,140684270,123659961,0,,,"",,,,
2020,140684271,123659962,1,5,34,"M",1,3,34,35
2020,140684273,123659963,2,5,17,"M",2,2,17,0
2020,140684272,123659963,1,4,,"U",0,3,,
2020,140684274,123659964,1,4,,"U",0,3,,
2020,140684275,123659965,1,4,,"U",0,3,,
2020,140684277,123659966,2,5,22,"F",1,2,20,25
2020,140684276,123659966,1,5,22,"M",1,2,20,25
2020,140684278,123659967,1,4,,"M",0,3,,
2020,140684279,123659968,1,4,,"U",0,3,,
2020,140684280,123659969,1,4,,"U",0,3,,
2020,140684281,123659970,1,5,16,"M",2,2,16,0
2020,140684282,123659971,1,5,26,"F",1,1,26,0
2020,140684283,123659972,0,,,"",,,,
2020,140684284,123659973,1,5,41,"M",1,2,41,0
2020,140684285,123659974,1,4,,"U",0,3,,
2020,140684286,123659975,1,5,35,"M",1,1,35,0
2020,140684288,123659976,2,5,39,"M",2,2,39,0
2020,140684287,123659976,1,5,33,"M",1,2,33,0
2020,140684289,123659977,1,5,25,"M",2,2,25,0
2020,140684290,123659978,1,5,30,"M",2,2,30,0
2020,140684291,123659979,0,,,"",,,,
2020,140684292,123659980,1,5,28,"M",1,2,28,0
2020,140684293,123659981,1,5,25,"M",1,2,20,30
2020,140684294,123659982,1,5,47,"F",1,2,47,0
2020,140684295,123659983,1,5,40,"M",1,1,40,0
2020,140684296,123659983,2,5,48,"M",1,2,48,0
2020,140684298,123659984,2,5,27,"M",2,2,27,0
2020,140684297,123659984,1,4,,"M",2,2,,
2020,140684300,123659985,2,5,46,"M",2,3,46,0
2020,140684299,123659985,1,5,33,"M",2,3,33,0
2020,140684302,123659987,1,4,,"U",0,3,,
2020,140684306,123659989,3,5,12,"F",1,1,12,0
2020,140684304,123659989,1,4,,"F",1,1,,
2020,140684305,123659989,2,5,13,"M",0,1,13,0
2020,140684309,123659990,3,5,19,"M",2,2,19,0
