"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2020,148247146,122506898,51,"C",20,,""
2020,148247147,122506899,14,"C",18,,""
2020,148247148,122506900,45,"C",20,,""
2020,148247149,122506901,49,"C",20,,"N"
2020,148247150,122506902,45,"C",20,,""
2020,148247151,122506903,14,"C",8,,""
2020,148247152,122506904,51,"C",20,,""
2020,148247153,122506905,23,"C",8,,""
2020,148247154,122506906,23,"C",8,,""
2020,148247155,122506907,51,"C",20,,""
2020,148247156,122506908,51,"C",20,,""
2020,148247157,122506909,51,"C",20,,""
2020,148247158,122506910,51,"C",20,,""
2020,148247159,122506911,46,"C",20,,""
2020,148247160,122506912,14,"C",20,,""
2020,148247161,122506913,16,"C",41,,""
2020,148247163,122506914,51,"C",20,,""
2020,148247162,122506914,45,"C",20,,""
2020,148247164,122506915,45,"C",21,,""
2020,148247165,122506916,45,"C",8,,""
2020,148247166,122506917,14,"C",20,,""
2020,148247167,122506918,45,"C",20,,""
2020,148247168,122506919,45,"C",20,,""
2020,148247169,122506920,5,"C",13,,""
2020,148247170,122506921,44,"C",14,,""
2020,148247171,122506922,45,"C",20,,""
2020,148247173,122506923,5,"C",20,,""
2020,148247172,122506923,49,"A",20,,"N"
2020,148247174,122506924,23,"C",8,,""
2020,148247176,122506925,51,"C",7,,""
2020,148247175,122506925,23,"C",7,,""
2020,148247177,122506926,51,"C",20,,""
2020,148247178,122506927,45,"C",8,,""
2020,148247181,122506929,5,"C",20,,""
2020,148247180,122506929,49,"C",20,,"F"
2020,148247182,122506930,40,"C",7,,""
2020,148247184,122506931,5,"C",20,,""
2020,148247183,122506931,49,"C",20,,"F"
2020,148247185,122506932,41,"C",23,,""
2020,148247186,122506933,51,"C",20,,""
2020,148247187,122506933,5,"C",20,,""
2020,148247188,122506934,51,"C",20,,""
2020,148247189,122506935,51,"C",20,,""
2020,148247190,122506936,51,"C",20,,""
2020,148247191,122506937,5,"C",20,,""
2020,148247192,122506938,45,"C",13,,""
2020,148247193,122506939,51,"C",20,,""
2020,148247194,122506940,23,"C",23,,""
2020,148247195,122506941,45,"C",20,,""
2020,148247196,122506942,5,"C",18,,""
2020,148247197,122506943,27,"C",20,,""
2020,148247198,122506943,5,"C",20,,""
2020,148247199,122506944,21,"A",13,,""
2020,148247200,122506945,51,"C",20,,""
2020,148247201,122506946,5,"C",14,,""
2020,148247202,122506947,51,"C",20,,""
2020,148247203,122506948,35,"C",13,,""
2020,148247204,122506949,51,"C",20,,""
2020,148247205,122506950,51,"C",1,,""
2020,148247206,122506951,51,"C",20,,""
2020,148247207,122506952,36,"C",20,,""
2020,148247209,122506954,51,"C",20,,""
2020,148247210,122506955,51,"C",20,,""
2020,148247211,122506956,51,"C",20,,""
2020,148247212,122506957,51,"C",20,,""
2020,148247213,122506958,27,"C",20,,""
2020,148247214,122506959,44,"C",20,,""
2020,148247215,122506960,45,"C",13,,""
2020,148247216,122506961,51,"C",20,,""
2020,148247217,122506962,16,"C",13,,""
2020,148247218,122506963,49,"A",11,,"N"
2020,148247219,122506964,28,"C",13,,""
2020,148247221,122506965,5,"C",13,,""
2020,148247220,122506965,7,"C",13,,""
2020,148247222,122506966,45,"C",20,,""
2020,148247224,122506968,27,"C",13,,""
2020,148247225,122506969,28,"C",20,,""
2020,148247226,122506970,51,"C",20,,""
2020,148247227,122506971,28,"C",13,,""
2020,148247228,122506972,51,"C",20,,""
2020,148247229,122506973,51,"C",20,,""
2020,148247230,122506974,5,"C",20,,""
2020,148247231,122506975,45,"C",20,,""
2020,148247232,122506976,49,"C",20,,"N"
2020,148247233,122506977,16,"C",13,,""
2020,148247234,122506978,5,"C",13,,""
2020,148247235,122506979,23,"C",24,,""
2020,148247236,122506980,51,"C",20,,""
2020,148247237,122506981,21,"C",13,,""
2020,148247238,122506982,49,"A",20,,"F"
2020,148247239,122506982,5,"C",20,,""
2020,148247240,122506983,23,"C",8,,""
2020,148247241,122506984,36,"C",25,,""
2020,148247242,122506985,16,"C",41,,""
2020,148247243,122506986,35,"C",41,,""
2020,148247244,122506987,41,"C",25,,""
2020,148247245,122506988,45,"C",20,,""
2020,148247246,122506989,49,"C",20,,"F"
2020,148247247,122506989,5,"C",20,,""
2020,148247252,122506993,16,"C",13,,""
2020,148247253,122506994,23,"C",7,,""
2020,148247254,122506995,5,"C",13,,""
2020,148247255,122506996,40,"C",2,,""
2020,148247256,122506997,23,"C",7,,""
2020,148247257,122506998,45,"C",12,,""
2020,148247258,122506999,23,"C",7,,""
2020,148247259,122507000,51,"C",41,,""
2020,148247260,122507001,21,"C",18,,""
2020,148247261,122507002,16,"C",23,,""
