"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2020,2,129358356,570,1,14971692
2020,4,129358356,1662.5,1,14971693
2020,8,129358356,143,1,14971694
2020,1,129358409,8.7,1,14971697
2020,5,129358409,6.6,1,14971698
2020,16,129353580,14,1,14971707
2020,5,129358545,,,14973401
2020,5,129353697,4.76,1,14973412
2020,4,129353756,1.8,1,14971718
2020,17,129359007,,,14971729
2020,5,135156362,56.2,1,16152695
2020,5,135155973,4.52,1,16152679
2020,4,135155973,10.66,1,16152678
2020,2,135155973,4.66,1,16152677
2020,15,135156241,4,9,16152688
2020,5,135156241,337,1,16149682
2020,5,135161805,1,4,16149690
2020,16,135156061,165,9,16152683
2020,12,135156243,7.9,1,16152689
2020,5,135315798,324,1,16172505
2020,13,135315798,10,9,16172503
2020,1,135315798,74,1,16172504
2020,5,135162016,120,1,16149699
2020,13,135162016,29,9,16149698
2020,5,135314417,8.72,1,16171007
2020,5,135315840,5.8,1,16170997
2020,5,135314288,3.8,1,16170994
2020,16,135314288,2.6,1,16170995
2020,5,135315982,62.31,1,16172518
2020,5,135155170,0.8,1,16152652
2020,12,135314444,5.2,1,16171010
2020,16,135155592,12,9,16152664
2020,16,135155938,,,16152675
2020,5,135156177,6.2,1,16149681
2020,5,135156560,1,1,16152702
2020,5,135315927,20,9,16171005
2020,5,135316020,2,1,16172521
2020,8,135314234,,,16170989
2020,5,135314248,57.8,1,16170990
2020,16,135319598,33.7,1,16171021
2020,5,135155599,4.6,1,16152665
2020,8,135155685,,,16152668
2020,5,135161215,20.15,1,16149662
2020,4,135161214,0.1,1,16149661
2020,5,135161411,1.32,1,16149670
2020,5,135161582,24.08,1,16149678
2020,2,135155473,4.1,1,16152663
2020,5,135155709,29.1,1,16152669
2020,4,135155798,0.5,1,16152670
2020,5,135156003,2,4,16152680
2020,5,135161832,291.11,1,16149691
2020,1,135161917,2.22,1,16149694
2020,5,135314569,6.4,1,16171019
2020,5,135159976,55,1,16149607
2020,1,135160570,14.5,1,16149638
2020,16,135160570,4,9,16149637
2020,5,135155008,29.8,1,16149604
2020,5,135314320,1.25,1,16172515
2020,5,127655512,14.79,1,14637875
2020,17,127652660,,,14633959
2020,2,127655560,38.84,1,14637881
2020,4,127655560,18.66,1,14637880
2020,5,127652513,119.3,1,14637871
2020,5,127655426,58.6,1,14633955
2020,2,127655449,4.1,1,14633956
2020,1,127652599,0.29,1,14637873
2020,5,127652612,41.3,1,14637874
2020,8,127652644,1,1,14633958
2020,2,127652688,0.4,1,14633961
2020,16,127655657,5,9,14637883
2020,5,127655414,7.62,1,14633954
2020,5,127652610,422.7,1,14633957
2020,5,127655726,63.8,1,14637885
2020,5,127655677,52.8,1,14633964
2020,2,127655677,21.62,1,14633963
2020,5,124934989,31.4,1,13962496
2020,5,124935005,5.8,1,13962497
2020,1,124934964,0.2,1,13962493
2020,5,124934978,6.5,1,13962494
2020,1,124934988,0.77,1,13962495
2020,5,124935024,5.9,1,13962498
2020,5,124935029,15,1,13962499
2020,4,124935031,31,1,13962500
2020,5,124935036,0.001,1,13962501
2020,1,124935045,4.8,1,13962502
2020,5,124935051,3,1,13962503
2020,12,124935052,2,9,13962504
2020,2,124935053,1.05,1,13962505
2020,2,124935073,25.94,1,13962507
2020,17,124935073,5,9,13962508
2020,4,124935073,11.75,1,13962506
2020,16,124935140,9,9,13962509
2020,5,124935146,0.2,1,13962510
2020,5,124935189,0.7,1,13962511
2020,5,124935224,45,1,13962512
2020,5,124935236,8.7,1,13962513
2020,5,124935243,2.3,1,13962514
2020,12,124935253,2,9,13962516
2020,5,124935253,0.47,1,13962517
2020,2,124935253,4.28,1,13962515
2020,5,124935265,60.5,1,13962518
2020,5,124935266,17.1,1,13962519
2020,5,124935271,32.2,1,13962520
2020,4,124935276,0.23,1,13962521
2020,4,124935282,0.72,1,13962522
2020,5,124935322,31.67,1,13962523
2020,5,124935340,3.1,1,13962524
2020,5,129353418,68.1,1,14971696
2020,16,129358505,41,9,14971704
2020,5,129358532,21,1,14973395
2020,8,129358534,1,9,14973396
2020,5,129353621,37,1,14973402
2020,16,129353621,108.3,1,14973403
2020,5,129358577,119.7,1,14971710
2020,17,129353661,0.6,1,14973406
