"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2020,134456854,139285220,24,42741500
2020,134456863,139285230,24,42741504
2020,134456865,139285233,3,42741507
2020,134456867,139285236,22,42741508
2020,146997266,152026189,18,48425187
2020,146997280,152026205,18,48425199
2020,146997280,152026204,18,48425198
2020,146997297,152026220,3,48425216
2020,147000315,152030370,24,48426778
2020,146997305,152026228,18,48425226
2020,147000329,152030387,21,48426796
2020,146997323,152026245,24,48425248
2020,146997323,152026244,16,48425247
2020,146997324,152026244,16,48426807
2020,146997324,152026245,24,48426808
2020,146997339,152030421,3,48425257
2020,147000365,152026259,18,48426819
2020,146997343,152026260,18,48426831
2020,146997345,152026259,18,48425264
2020,146997345,152030423,18,48426834
2020,146997343,152026259,18,48426829
2020,147000365,152026260,18,48426821
2020,147000365,152030423,18,48426826
2020,146997345,152026260,18,48426833
2020,146997343,152030423,18,48426832
2020,146997349,152030428,21,48426842
2020,146997354,152030441,1,48426853
2020,146997355,152030441,1,48425278
2020,146997365,152026291,17,48425287
2020,146997533,152026444,1,48425430
2020,146997589,152026502,24,48425488
2020,146997587,152026498,18,48425486
2020,146997625,152026536,1,48425521
2020,146997646,152026555,18,48425537
2020,146997666,152026578,1,48425556
2020,146997666,152026576,14,48425554
2020,146997689,152026600,17,48425579
2020,146997695,152026604,18,48425584
2020,146997694,152026604,18,48425583
2020,146997247,152030340,24,48426752
2020,146997441,152030468,1,48425348
2020,137577328,142419904,18,44155864
2020,137577378,142419962,26,44158038
2020,137572890,142420040,1,44158087
2020,137577460,142420048,9,44155950
2020,137577460,142420047,1,44158091
2020,137577460,142420045,25,44158090
2020,148938483,153927336,21,49267016
2020,148938520,153927374,18,49267057
2020,148938543,153927396,5,49267080
2020,148938543,153927397,2,49267079
2020,148938691,153927537,1,49267262
2020,148938691,153927538,24,49267260
2020,148938690,153927538,24,49267259
2020,148938690,153927537,27,49267258
2020,148938709,153927548,9,49267274
2020,148938724,153927567,7,49267294
2020,148938730,153927571,18,49267297
2020,148938777,153927613,27,49267341
2020,148938786,153927625,3,49267350
2020,148938787,153927625,1,49267351
2020,148938788,153927626,3,49267352
2020,148938813,153927649,18,49267376
2020,148938813,153927647,18,49267374
2020,148938826,153927670,18,49267388
2020,148938834,153927674,18,49267396
2020,148938834,153927677,18,49267395
2020,148938834,153927678,18,49267397
2020,148938834,153927676,18,49267399
2020,148938834,153927675,18,49267398
2020,148938837,153927684,16,49267401
2020,148938849,153927692,16,49267410
2020,148938849,153927690,18,49267409
2020,148938849,153927691,18,49267411
2020,148938942,153927772,3,49267517
2020,148934972,153927778,24,49260908
2020,137577072,142413471,18,44157868
2020,137572524,142413497,1,44157876
2020,137572523,142413494,3,44157875
2020,137577134,142413511,26,44155736
2020,137577148,142413522,16,44157887
2020,137572573,142419723,25,44155765
2020,137577183,142419723,5,44155769
2020,137572573,142419726,17,44155766
2020,137577183,142419726,25,44155770
2020,137572579,142413569,3,44157909
2020,137577193,142419744,3,44155781
2020,137572598,142413590,5,44157921
2020,137577225,142413619,21,44155804
2020,137577252,142419815,18,44155824
2020,137577285,142419856,18,44157978
2020,137572725,142413712,3,44158001
2020,137577316,142419888,12,44158002
2020,137572728,142413713,24,44158003
2020,137577333,142413738,3,44155867
2020,137572750,142413737,24,44155870
2020,137572750,142413736,24,44155869
2020,137572764,142419920,24,44158015
2020,137572764,142419919,1,44155885
2020,137572779,142419930,24,44158018
2020,137577353,142419930,18,44155888
2020,137572788,142419942,3,44158025
2020,137577365,142419954,24,44155894
2020,137572799,142419957,3,44158035
2020,137577377,142419961,17,44155900
2020,137577384,142413788,25,44158047
2020,137577386,142413788,1,44155910
2020,137572813,142419970,25,44158046
2020,137577384,142419970,19,44155907
2020,137572813,142413788,19,44155904
2020,137577386,142419970,3,44155911
2020,137577394,142419976,18,44158051
2020,137572832,142419989,5,44158053
2020,137572858,142413842,16,44158071
2020,137577449,142420032,16,44155947
2020,137577449,142413865,16,44155946
2020,137576937,142419471,18,44155590
2020,137576942,142419471,24,44155597
2020,137576935,142419473,24,44155586
2020,137576937,142419472,1,44155591
2020,137576935,142419472,18,44157740
2020,137576942,142419472,9,44155598
2020,137576942,142419473,24,44155599
2020,137576937,142419473,1,44155592
2020,137576935,142419471,24,44157738
2020,137572407,142419530,3,44157788
2020,137572413,142413369,1,44157792
2020,137572461,142419589,18,44157848
2020,137572460,142413409,18,44157847
2020,137572458,142419589,18,44157842
2020,137572461,142413409,18,44155691
2020,137572460,142419589,18,44157846
2020,137572458,142413409,18,44157843
2020,137572488,142419618,3,44157860
2020,137577074,142413465,24,44155718
2020,137577188,142419735,9,44155778
2020,137577189,142419735,1,44157911
2020,137577189,142419736,1,44157912
2020,137577188,142419736,1,44157910
2020,137577208,142419761,17,44155787
2020,137577219,142419770,18,44155792
2020,137577219,142413608,18,44155793
2020,137577219,142419773,24,44155795
2020,137577219,142419772,24,44155794
2020,137572630,142413626,24,44157939
2020,137572630,142419785,24,44155812
2020,137577245,142419803,17,44155821
2020,137572706,142419865,16,44157988
2020,137572784,142413761,12,44158021
2020,137577366,142413769,3,44155893
2020,137572880,142413864,3,44158080
2020,148934961,153927486,24,49267194
2020,147000227,152030282,1,48426679
2020,147000229,152030287,18,48426686
2020,147000234,152030292,24,48426689
2020,147000247,152026162,21,48426705
2020,147000266,152030324,15,48426724
2020,147000265,152030324,19,48426723
2020,147000273,152030333,27,48426735
2020,146997269,152030356,18,48425190
2020,146997268,152026191,3,48425189
2020,147000302,152030363,18,48426770
2020,147000301,152030363,18,48426769
2020,147000376,152030434,3,48426846
2020,147000382,152030438,3,48426851
2020,147000395,152026279,3,48426861
2020,147000573,152027282,3,48427042
2020,146997374,152030460,18,48425293
2020,147000515,152027014,3,48426988
2020,147003141,152027034,18,48426006
2020,147003155,152027055,21,48426017
2020,147003174,152027069,18,48426036
2020,147000533,152027132,18,48427008
2020,147000566,152027263,18,48426195
2020,147000570,152027280,16,48427039
2020,147003404,152027295,18,48426227
2020,147003421,152030693,1,48426240
2020,147003421,152030692,1,48426241
2020,147000595,152027301,18,48427070
2020,147000596,152030695,1,48427071
2020,147000606,152027309,18,48427078
2020,147000616,152027314,18,48427085
2020,147000615,152030703,26,48427084
2020,147000642,152027343,24,48427107
2020,147003457,152030730,16,48426279
2020,147000653,152027358,19,48427118
2020,147000654,152027361,18,48427124
2020,147000659,152030745,3,48426290
2020,147000671,152030754,18,48427140
2020,134456968,139285345,9,42741594
2020,134456969,139285353,16,42741602
2020,134456970,139285354,3,42741603
2020,134456971,139285354,20,42741604
2020,134456972,139285355,26,42741605
2020,134456976,139285359,3,42741606
2020,134456977,139285360,3,42741607
2020,134456978,139285361,3,42741608
2020,134456979,139285362,15,42741609
2020,134456980,139285363,3,42741610
2020,134456983,139285366,3,42741611
2020,134456984,139285367,3,42741612
2020,134456985,139285368,3,42741613
2020,134456995,139285378,24,42741614
2020,134457000,139285382,16,42741615
2020,134457008,139285392,3,42741617
2020,134457009,139285393,18,42741618
2020,134457009,139285394,18,42741619
2020,134457009,139285395,18,42741620
2020,134457009,139285396,18,42741621
2020,134457011,139285398,3,42741622
2020,134457013,139285401,3,42741625
2020,134457015,139285403,24,42741626
2020,134457020,139285407,24,42741637
2020,134457020,139285406,24,42741636
2020,134457020,139285405,24,42741635
2020,134457019,139285406,24,42741632
2020,134457018,139285408,1,42741630
2020,134457018,139285405,19,42741627
2020,134457019,139285408,24,42741634
2020,134457019,139285407,24,42741633
2020,134457020,139285408,24,42741638
2020,134457019,139285405,24,42741631
2020,134457018,139285406,18,42741628
2020,134457018,139285407,19,42741629
2020,134457021,139285409,3,42741639
2020,134457026,139285416,21,42741640
2020,134457027,139285417,15,42741641
2020,134457030,139285419,24,42741643
2020,134457029,139285419,24,42741642
2020,134457034,139285422,24,42741645
2020,134457033,139285422,3,42741644
2020,134457037,139285426,3,42741646
2020,134457040,139285429,18,42741648
2020,134457041,139285428,18,42741649
2020,134457040,139285428,18,42741647
2020,134457043,139285428,18,42741653
2020,134457042,139285429,18,42741652
2020,134457041,139285429,18,42741650
2020,134457043,139285429,18,42741654
2020,134457042,139285428,18,42741651
2020,134457044,139285430,3,42741655
2020,134457046,139285432,21,42741656
2020,134457047,139285433,3,42741657
2020,134457058,139285443,17,42741659
2020,134457057,139285443,19,42741658
2020,134457060,139285445,1,42741660
2020,134457061,139285446,16,42741661
2020,134457061,139285447,16,42741662
2020,134457063,139285448,16,42741664
2020,134457062,139285448,16,42741663
2020,134457065,139285450,16,42741665
2020,134457066,139285451,3,42741666
2020,134457070,139285456,18,42741668
2020,134457071,139285457,16,42741669
2020,134457074,139285460,18,42741670
2020,134457075,139285461,24,42741671
2020,134457077,139285465,18,42741672
2020,134457079,139285466,21,42741673
2020,134457083,139285470,15,42741674
2020,134457091,139285478,17,42741675
2020,134457093,139285480,16,42741676
2020,134457101,139285486,24,42741678
2020,134457100,139285486,24,42741677
2020,134457105,139285491,26,42741679
2020,134457106,139285492,3,42741680
2020,134457109,139285495,19,42741681
2020,134457110,139285496,1,42741682
2020,134457111,139285497,17,42741683
2020,134457112,139285498,17,42741684
2020,134457112,139285499,17,42741685
2020,134457115,139285501,3,42741688
2020,134457114,139285501,25,42741686
2020,134457114,139285502,3,42741687
2020,134457115,139285502,25,42741689
2020,134457117,139285506,3,42741690
2020,134457119,139285509,3,42741691
2020,134457121,139285512,24,42741694
2020,134457121,139285511,1,42741693
2020,134457121,139285513,24,42741695
2020,134457121,139285510,1,42741692
2020,134457126,139285518,3,42741696
2020,134457131,139285523,12,42741697
2020,134457141,139285533,24,42741698
2020,134457142,139285534,24,42741699
2020,134457147,139285538,21,42741700
2020,134457147,139285539,17,42741701
2020,134457148,139285540,24,42741702
2020,134457151,139285543,21,42741703
2020,134457153,139285547,1,42741705
2020,134457153,139285546,1,42741704
2020,134457154,139285548,3,42741706
2020,134457159,139285552,24,42741708
2020,134457158,139285552,24,42741707
2020,134457165,139285559,9,42741709
2020,134457173,139285566,17,42741710
2020,134457174,139285567,21,42741711
2020,134457175,139285568,3,42741712
2020,134457176,139285569,3,42741713
2020,134457185,139285577,24,42741714
2020,134457188,139285581,18,42741716
2020,134457188,139285582,18,42741717
2020,134457190,139285583,1,42741719
2020,134457189,139285583,1,42741718
2020,134457191,139285584,3,42741720
2020,134457192,139285585,18,42741721
2020,134457195,139285587,1,42741723
2020,134457194,139285587,1,42741722
2020,134457197,139285589,3,42741724
2020,134457198,139285590,24,42741725
2020,134457200,139285593,3,42741726
2020,134457211,139285604,18,42741727
2020,134457211,139285605,18,42741728
2020,134457211,139285606,18,42741729
2020,134457211,139285607,18,42741730
2020,134457213,139285610,1,42741732
