DATA_YEAR,AGENCY_ID,INCIDENT_ID,NIBRS_MONTH_ID,CARGO_THEFT_FLAG,SUBMISSION_DATE,INCIDENT_DATE,REPORT_DATE_FLAG,INCIDENT_HOUR,CLEARED_EXCEPT_ID,CLEARED_EXCEPT_DATE,INCIDENT_STATUS,DATA_HOME,ORIG_FORMAT,DID
2020,5659,133791805,8539830,,01-FEB-21,22-DEC-20,,23,6,,0,C,F,93376529
2020,5659,133787561,8572330,N,01-FEB-21,27-OCT-20,,14,6,,0,C,F,93376526
2020,5659,133791812,8539830,,01-FEB-21,20-DEC-20,,4,6,,0,C,F,93376528
2020,5659,133787564,8539830,,01-FEB-21,25-DEC-20,,15,6,,0,C,F,93376534
2020,5659,133791816,8532866,,01-FEB-21,26-SEP-20,,18,6,,0,C,F,93379858
2020,5659,133787569,8572330,,01-FEB-21,28-OCT-20,,15,6,,0,C,F,93376540
2020,5659,133791820,8572330,,01-FEB-21,16-OCT-20,,11,6,,0,C,F,93379863
2020,5659,133787576,8527158,N,01-FEB-21,20-FEB-20,,0,6,,0,C,F,93376555
2020,5659,133787581,8572330,,01-FEB-21,30-OCT-20,,18,6,,0,C,F,93376569
2020,5659,133787582,8572330,N,01-FEB-21,27-OCT-20,,11,6,,0,C,F,93376563
2020,5659,133791835,8532866,N,01-FEB-21,10-SEP-20,,15,6,,0,C,F,93376571
2020,5659,133791837,8527158,N,01-FEB-21,20-FEB-20,,0,6,,0,C,F,93376577
2020,5659,133791839,8539830,,01-FEB-21,30-DEC-20,,2,6,,0,C,F,93379892
2020,5659,133791842,8572330,,01-FEB-21,14-OCT-20,,5,6,,0,C,F,93379894
2020,5659,133787594,8539830,N,01-FEB-21,16-DEC-20,,14,6,,0,C,F,93376587
2020,5659,133791844,8572330,,01-FEB-21,06-OCT-20,,20,6,,0,C,F,93379901
2020,5659,133791850,8539830,,01-FEB-21,18-DEC-20,,4,6,,0,C,F,93376592
2020,5659,133787598,8539830,N,01-FEB-21,14-DEC-20,,0,6,,0,C,F,93379908
2020,5659,133787600,8567238,,01-FEB-21,25-NOV-20,,18,6,,0,C,F,93379914
2020,5659,133787603,8572330,,01-FEB-21,30-OCT-20,,10,6,,0,C,F,93379917
2020,5659,133787607,8572330,,01-FEB-21,15-OCT-20,,16,6,,0,C,F,93379923
2020,5659,133791861,8567238,N,01-FEB-21,22-NOV-20,,0,6,,0,C,F,93376601
2020,5659,133787610,8572330,N,01-FEB-21,24-OCT-20,,17,6,,0,C,F,93376609
2020,5659,133787614,8567238,N,01-FEB-21,02-NOV-20,,22,6,,0,C,F,93379942
2020,5659,133787616,8520426,N,01-FEB-21,28-AUG-20,,13,6,,0,C,F,93379944
2020,5659,133787622,8532866,,01-FEB-21,29-SEP-20,,22,6,,0,C,F,93376618
2020,5659,133787624,8567238,,01-FEB-21,24-NOV-20,,5,6,,0,C,F,93379948
2020,5659,133791873,8539830,N,01-FEB-21,21-DEC-20,,20,6,,0,C,F,93376622
2020,5659,133787626,8572330,,01-FEB-21,16-OCT-20,,16,6,,0,C,F,93379951
2020,5659,133787628,8572330,,01-FEB-21,01-OCT-20,,23,6,,0,C,F,93379954
2020,5659,133791879,8532866,,01-FEB-21,13-SEP-20,,14,6,,0,C,F,93379959
2020,5659,133787636,8523652,N,01-FEB-21,04-JUL-20,,18,6,,0,C,F,93379964
2020,5659,133787640,8572330,N,01-FEB-21,30-OCT-20,,1,6,,0,C,F,93379967
