"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2020,18166916,5656,8,2020,"I",08-MAR-21,"Y","F","C","2020_08_IL1010100_NIBRS",97086752,0
2020,18166915,5656,9,2020,"I",08-MAR-21,"Y","F","C","2020_09_IL1010100_NIBRS",97086751,0
2020,18166917,5656,10,2020,"I",08-MAR-21,"Y","F","C","2020_10_IL1010100_NIBRS",97086753,0
2020,18166918,5656,11,2020,"I",08-MAR-21,"Y","F","C","2020_11_IL1010100_NIBRS",97217863,0
2020,18166914,5656,12,2020,"I",08-MAR-21,"Y","F","C","2020_12_IL1010100_NIBRS",97086750,0
2020,18129599,5667,12,2020,"I",04-MAR-21,"Y","F","C","2020_12_IL1011300_NIBRS",97087249,0
2020,18163956,5661,3,2020,"U",08-MAR-21,"Y","F","C","2020_03_IL1010600_NIBRS",97084332,0
2020,18163955,5661,5,2020,"U",08-MAR-21,"Y","F","C","2020_05_IL1010600_NIBRS",97084331,0
2020,18163954,5661,7,2020,"U",08-MAR-21,"Y","F","C","2020_07_IL1010600_NIBRS",97084330,0
2020,18163953,5661,8,2020,"I",08-MAR-21,"Y","F","C","2020_08_IL1010600_NIBRS",97084419,0
2020,18163949,5661,9,2020,"I",08-MAR-21,"Y","F","C","2020_09_IL1010600_NIBRS",97084421,0
2020,18163952,5661,10,2020,"I",08-MAR-21,"Y","F","C","2020_10_IL1010600_NIBRS",97084422,0
2020,18163950,5661,11,2020,"I",08-MAR-21,"Y","F","C","2020_11_IL1010600_NIBRS",97084418,0
2020,18163951,5661,12,2020,"I",08-MAR-21,"Y","F","C","2020_12_IL1010600_NIBRS",97084423,0
2020,18082565,5662,8,2020,"U",02-MAR-21,"Y","F","C","2020_08_IL1010700_NIBRS",97084462,0
2020,18082566,5662,12,2020,"U",02-MAR-21,"Y","F","C","2020_12_IL1010700_NIBRS",97084463,0
2020,18084589,5655,1,2020,"U",02-MAR-21,"Y","F","C","2020_01_IL1010000_NIBRS",97087443,0
2020,18084600,5655,2,2020,"U",02-MAR-21,"Y","F","C","2020_02_IL1010000_NIBRS",97087454,0
2020,18084599,5655,3,2020,"U",02-MAR-21,"Y","F","C","2020_03_IL1010000_NIBRS",97087453,0
2020,18084593,5655,4,2020,"U",02-MAR-21,"Y","F","C","2020_04_IL1010000_NIBRS",97087447,0
2020,18084601,5655,7,2020,"U",02-MAR-21,"Y","F","C","2020_07_IL1010000_NIBRS",97087455,0
2020,18084598,5655,8,2020,"I",02-MAR-21,"Y","F","C","2020_08_IL1010000_NIBRS",97087452,0
2020,18084594,5655,9,2020,"I",02-MAR-21,"Y","F","C","2020_09_IL1010000_NIBRS",97087448,0
2020,18084596,5655,10,2020,"I",02-MAR-21,"Y","F","C","2020_10_IL1010000_NIBRS",97087450,0
2020,18084592,5655,11,2020,"I",02-MAR-21,"Y","F","C","2020_11_IL1010000_NIBRS",97087446,0
2020,18084591,5655,12,2020,"I",02-MAR-21,"Y","F","C","2020_12_IL1010000_NIBRS",97087445,0
2020,18163935,5657,1,2020,"U",08-MAR-21,"Y","F","C","2020_01_IL1010200_NIBRS",97083864,0
2020,18163930,5657,8,2020,"I",08-MAR-21,"Y","F","C","2020_08_IL1010200_NIBRS",97084143,0
2020,18163934,5657,9,2020,"I",08-MAR-21,"Y","F","C","2020_09_IL1010200_NIBRS",97083863,0
2020,18163931,5657,10,2020,"I",08-MAR-21,"Y","F","C","2020_10_IL1010200_NIBRS",97084144,0
