data_year,suspected_drug_type_id,property_id,est_drug_qty,drug_measure_type_id,nibrs_suspected_drug_id
2023,16,165988664,8.000,1,15149172
2023,12,166889131,1.000,1,15285450
2023,12,168961557,4.000,1,15583704
2023,12,168961571,2.000,1,15583708
2023,12,168961653,3.000,1,15583721
2023,12,171555854,224.000,1,15957721
2023,16,177959993,8.000,1,16817681
2023,12,177959995,1.000,1,16817683
2023,12,177959997,1.000,1,16817684
2023,12,174649465,4.000,1,16379638
2023,12,174649478,1.000,1,16379639
2023,8,175526111,7.400,1,16486832
2023,12,162989888,2.000,1,14730787
2023,12,162989891,1.000,1,14730788
2023,12,162989893,1.000,1,14730789
2023,12,165985920,1.000,1,15148830
2023,12,165985925,1.000,1,15148832
2023,12,165985934,1.000,1,15148833
2023,12,165985938,2.000,1,15148834
2023,12,172001095,1.000,1,16024534
2023,12,169818749,1.000,1,15718442
2023,12,169818755,2.950,1,15718443
2023,12,169818757,4.300,1,15718444
2023,12,169818758,4.430,1,15718445
2023,12,169818759,8.970,1,15718446
2023,12,169818766,1.000,1,15718447
2023,12,169818770,1.000,1,15718448
2023,12,169818772,1.000,1,15718449
2023,12,169818775,1.000,1,15718450
2023,12,169818777,1.000,1,15718451
2023,12,169818779,1.000,1,15718452
2023,12,169818780,1.000,1,15718453
2023,12,172001096,2.000,1,16024535
2023,12,172001097,1.000,1,16024536
2023,5,172001098,5.000,1,16024537
2023,5,172445448,5.000,1,16091984
2023,12,172445450,1.000,1,16091985
2023,12,172445451,2.000,1,16091986
2023,12,173744864,5.000,1,16265959
2023,5,173744871,3.000,1,16265960
2023,5,173744873,2.000,1,16265961
2023,12,173744874,2.000,1,16265962
2023,12,173744875,1.000,1,16265963
2023,12,173744883,1.000,1,16265964
2023,2,173744893,1.000,1,16265965
2023,12,173744894,1.000,1,16265966
2023,12,173744896,1.000,1,16265967
2023,12,173744900,3.000,1,16265968
2023,5,173744901,121.000,1,16265969
2023,16,177660793,2.300,1,16782875
2023,12,177660796,1.000,1,16782876
2023,5,177660797,1.000,1,16782877
2023,8,177660804,7.000,9,16782878
2023,12,179453397,2.000,1,17025984
2023,5,163903383,1.000,1,14856336
2023,5,163903384,1.000,1,14856337
2023,5,163903388,0.100,1,14856339
2023,5,180884855,1.900,1,17229820
2023,5,180884858,1.000,11,17229821
2023,5,180884859,1.000,1,17229822
2023,5,180884860,2.700,1,17229823
2023,2,180884861,1.000,1,17229824
2023,5,180884862,1.000,1,17229825
2023,2,180884863,1.000,1,17229826
2023,2,180884864,1.000,1,17229827
2023,5,180884865,1.700,1,17229828
2023,5,180884869,1.000,1,17229829
2023,5,168749196,1.000,1,15549839
2023,5,180884875,1.000,1,17229830
2023,5,180884879,2.000,9,17229831
2023,5,180884892,0.900,1,17229832
2023,5,180884896,1.000,1,17229833
2023,5,180884897,58.100,1,17229834
2023,5,180884900,2.000,1,17229835
2023,5,168749204,6.700,1,15549840
2023,2,180884903,1.000,1,17229836
2023,2,180884905,1.000,1,17229837
2023,2,180884914,4.000,1,17229838
2023,8,180884914,1.000,1,17229839
2023,5,180884914,3.000,1,17229840
2023,5,180884929,2.600,1,17229841
2023,5,180884931,1.000,1,17229842
2023,2,172847310,1.500,1,16143792
2023,5,180884939,8.400,1,17229843
2023,2,172847313,1.000,1,16143793
2023,2,180884943,1.000,1,17229844
