yearly_agency_id,agency_id,data_year,ori,legacy_ori,covered_by_legacy_ori,direct_contributor_flag,dormant_flag,dormant_year,reporting_type,ucr_agency_name,ncic_agency_name,pub_agency_name,pub_agency_unit,agency_status,state_id,state_name,state_abbr,state_postal_abbr,division_code,division_name,region_code,region_name,region_desc,agency_type_name,population,submitting_agency_id,sai,submitting_agency_name,suburban_area_flag,population_group_id,population_group_code,population_group_desc,parent_pop_group_code,parent_pop_group_desc,mip_flag,pop_sort_order,summary_rape_def,pe_reported_flag,male_officer,male_civilian,male_officer+male_civilian,female_officer,female_civilian,female_officer+female_civilian,officer_rate,employee_rate,nibrs_cert_date,nibrs_start_date,nibrs_leoka_start_date,nibrs_ct_start_date,nibrs_multi_bias_start_date,nibrs_off_eth_start_date,covered_flag,county_name,msa_name,publishable_flag,participated,nibrs_participated
46752023,4675,2023,IL0010000,IL0010000,,N,N,,I,ADAMS,ADAMS CO SO QUINCY,Adams,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,24811,23367,ILUCR0001,Illinois State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,25,1,26,2,2,4,1.1,1.2,2006-12-01,2021-01-01,2022-04-01,2022-04-01,2022-04-01,2022-04-01,N,ADAMS,Not Specified,Y,Y,Y
46802023,4680,2023,IL0020000,IL0020000,,N,N,,I,ALEXANDER,ALEXANDER CO SO CAIRO,Alexander,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,3173,23367,ILUCR0001,Illinois State Police,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,7,0,7,0,4,4,2.2,3.5,2006-12-01,2022-11-01,2023-08-01,2023-08-01,2023-08-01,2023-08-01,N,ALEXANDER,"Cape Girardeau, MO-IL",Y,Y,Y
46822023,4682,2023,IL0030000,IL0030000,,N,N,,I,BOND,BOND CO SO GREENVILLE,Bond,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,8060,23367,ILUCR0001,Illinois State Police,Y,22,9D,"MSA counties under 10,000",9,MSA Counties,N,22,,Y,12,6,18,0,5,5,1.5,2.9,2006-12-01,2022-01-01,2022-03-01,2022-03-01,2022-03-01,2022-03-01,N,BOND,"St. Louis, MO-IL",Y,Y,Y
46832023,4683,2023,IL0030100,IL0030100,,N,N,,I,GREENVILLE,GREENVILLE PD,Greenville,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,7018,23367,ILUCR0001,Illinois State Police,Y,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,10,0,10,1,0,1,1.6,1.6,2006-12-01,2022-01-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,N,BOND,"St. Louis, MO-IL",Y,Y,Y
46852023,4685,2023,IL0040000,IL0040000,,N,N,,I,BOONE,BOONE CO SO BELVIDERE,Boone,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,26285,23367,ILUCR0001,Illinois State Police,Y,20,9B,"MSA counties from 25,000 thru 99,999",9,MSA Counties,N,20,,Y,36,35,71,3,37,40,1.5,4.2,2006-12-01,2022-06-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,N,BOONE,"Rockford, IL",Y,Y,Y
46862023,4686,2023,IL0040100,IL0040100,,N,N,,I,BELVIDERE,BELVIDERE CITY PD,Belvidere,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,25116,23367,ILUCR0001,Illinois State Police,Y,8,4,"Cities from 25,000 thru 49,999",4,"Cities from 25,000 thru 49,999",N,8,,Y,37,0,37,7,3,10,1.8,1.9,2006-12-01,2022-06-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,N,BOONE,"Rockford, IL",Y,Y,Y
46892023,4689,2023,IL0060000,IL0060000,,N,N,,I,BUREAU,BUREAU CO SO PRINCETON,Bureau,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,County,13153,23367,ILUCR0001,Illinois State Police,N,15,8C,"Non-MSA counties from 10,000 thru 24,999",8,Non-MSA Counties,N,15,,Y,27,0,27,7,3,10,2.6,2.8,2006-12-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,2022-11-01,N,BUREAU,Not Specified,Y,Y,Y
46902023,4690,2023,IL0060100,IL0060100,,N,N,,I,BUDA,BUDA PD,Buda,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,467,23367,ILUCR0001,Illinois State Police,N,11,7,"Cities under 2,500",7,"Cities under 2,500",N,11,,N,,,,,,,,,2006-12-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,BUREAU,Not Specified,Y,Y,Y
46922023,4692,2023,IL0060400,IL0060400,,N,N,,I,PRINCETON,PRINCETON PD,Princeton,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,7673,23367,ILUCR0001,Illinois State Police,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,16,0,16,2,2,4,2.3,2.6,2006-12-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,2021-01-01,N,BUREAU,Not Specified,Y,Y,Y
46932023,4693,2023,IL0060600,IL0060600,,N,N,,I,SPRING VALLEY,SPRING VALLEY PD,Spring Valley,,A,18,Illinois,IL,IL,3,East North Central,2,Midwest,Region II,City,5414,23367,ILUCR0001,Illinois State Police,N,10,6,"Cities from 2,500 thru 9,999",6,"Cities from 2,500 thru 9,999",N,10,,Y,9,0,9,1,1,2,1.8,2.0,2006-12-01,2021-09-01,2022-01-01,2022-01-01,2022-01-01,2022-01-01,N,BUREAU,Not Specified,Y,Y,Y
